estimation_id,feature_set,features,horizon,response_type,dep_col,scale_col,nobs,country_n,year_min,year_max,rank,regressor_count,status,regressor_position,regressor,contrast_weight,poland_profile_source
linear__h3__output,linear_benchmark,,3,output_over_initial_investment,y_dyn_h3,gi_dyn0,506,27,2004,2022,6,6,OK,1,shock_G_I,1.0,{}
linear__h3__output,linear_benchmark,,3,output_over_initial_investment,y_dyn_h3,gi_dyn0,506,27,2004,2022,6,6,OK,2,shock_G_C,0.0,{}
linear__h3__output,linear_benchmark,,3,output_over_initial_investment,y_dyn_h3,gi_dyn0,506,27,2004,2022,6,6,OK,3,dlog_gi_lag1,0.0,{}
linear__h3__output,linear_benchmark,,3,output_over_initial_investment,y_dyn_h3,gi_dyn0,506,27,2004,2022,6,6,OK,4,dlog_gc_lag1,0.0,{}
linear__h3__output,linear_benchmark,,3,output_over_initial_investment,y_dyn_h3,gi_dyn0,506,27,2004,2022,6,6,OK,5,dlog_y_lag1,0.0,{}
linear__h3__output,linear_benchmark,,3,output_over_initial_investment,y_dyn_h3,gi_dyn0,506,27,2004,2022,6,6,OK,6,i_rate_lag1,0.0,{}
linear__h3__investment_path,linear_benchmark,,3,investment_path_over_initial_investment,gi_dyn_h3,gi_dyn0,506,27,2004,2022,6,6,OK,1,shock_G_I,1.0,{}
linear__h3__investment_path,linear_benchmark,,3,investment_path_over_initial_investment,gi_dyn_h3,gi_dyn0,506,27,2004,2022,6,6,OK,2,shock_G_C,0.0,{}
linear__h3__investment_path,linear_benchmark,,3,investment_path_over_initial_investment,gi_dyn_h3,gi_dyn0,506,27,2004,2022,6,6,OK,3,dlog_gi_lag1,0.0,{}
linear__h3__investment_path,linear_benchmark,,3,investment_path_over_initial_investment,gi_dyn_h3,gi_dyn0,506,27,2004,2022,6,6,OK,4,dlog_gc_lag1,0.0,{}
linear__h3__investment_path,linear_benchmark,,3,investment_path_over_initial_investment,gi_dyn_h3,gi_dyn0,506,27,2004,2022,6,6,OK,5,dlog_y_lag1,0.0,{}
linear__h3__investment_path,linear_benchmark,,3,investment_path_over_initial_investment,gi_dyn_h3,gi_dyn0,506,27,2004,2022,6,6,OK,6,i_rate_lag1,0.0,{}
linear__h4__output,linear_benchmark,,4,output_over_initial_investment,y_dyn_h4,gi_dyn0,481,27,2004,2021,6,6,OK,1,shock_G_I,1.0,{}
linear__h4__output,linear_benchmark,,4,output_over_initial_investment,y_dyn_h4,gi_dyn0,481,27,2004,2021,6,6,OK,2,shock_G_C,0.0,{}
linear__h4__output,linear_benchmark,,4,output_over_initial_investment,y_dyn_h4,gi_dyn0,481,27,2004,2021,6,6,OK,3,dlog_gi_lag1,0.0,{}
linear__h4__output,linear_benchmark,,4,output_over_initial_investment,y_dyn_h4,gi_dyn0,481,27,2004,2021,6,6,OK,4,dlog_gc_lag1,0.0,{}
linear__h4__output,linear_benchmark,,4,output_over_initial_investment,y_dyn_h4,gi_dyn0,481,27,2004,2021,6,6,OK,5,dlog_y_lag1,0.0,{}
linear__h4__output,linear_benchmark,,4,output_over_initial_investment,y_dyn_h4,gi_dyn0,481,27,2004,2021,6,6,OK,6,i_rate_lag1,0.0,{}
linear__h4__investment_path,linear_benchmark,,4,investment_path_over_initial_investment,gi_dyn_h4,gi_dyn0,481,27,2004,2021,6,6,OK,1,shock_G_I,1.0,{}
linear__h4__investment_path,linear_benchmark,,4,investment_path_over_initial_investment,gi_dyn_h4,gi_dyn0,481,27,2004,2021,6,6,OK,2,shock_G_C,0.0,{}
linear__h4__investment_path,linear_benchmark,,4,investment_path_over_initial_investment,gi_dyn_h4,gi_dyn0,481,27,2004,2021,6,6,OK,3,dlog_gi_lag1,0.0,{}
linear__h4__investment_path,linear_benchmark,,4,investment_path_over_initial_investment,gi_dyn_h4,gi_dyn0,481,27,2004,2021,6,6,OK,4,dlog_gc_lag1,0.0,{}
linear__h4__investment_path,linear_benchmark,,4,investment_path_over_initial_investment,gi_dyn_h4,gi_dyn0,481,27,2004,2021,6,6,OK,5,dlog_y_lag1,0.0,{}
linear__h4__investment_path,linear_benchmark,,4,investment_path_over_initial_investment,gi_dyn_h4,gi_dyn0,481,27,2004,2021,6,6,OK,6,i_rate_lag1,0.0,{}
linear__h5__output,linear_benchmark,,5,output_over_initial_investment,y_dyn_h5,gi_dyn0,456,27,2004,2020,6,6,OK,1,shock_G_I,1.0,{}
linear__h5__output,linear_benchmark,,5,output_over_initial_investment,y_dyn_h5,gi_dyn0,456,27,2004,2020,6,6,OK,2,shock_G_C,0.0,{}
linear__h5__output,linear_benchmark,,5,output_over_initial_investment,y_dyn_h5,gi_dyn0,456,27,2004,2020,6,6,OK,3,dlog_gi_lag1,0.0,{}
linear__h5__output,linear_benchmark,,5,output_over_initial_investment,y_dyn_h5,gi_dyn0,456,27,2004,2020,6,6,OK,4,dlog_gc_lag1,0.0,{}
linear__h5__output,linear_benchmark,,5,output_over_initial_investment,y_dyn_h5,gi_dyn0,456,27,2004,2020,6,6,OK,5,dlog_y_lag1,0.0,{}
